Task_Title,Category,Priority,Actual_Duration
Встреча с клиентом,Work,High,1.6750166824534123
Подготовить отчет по проекту,Work,High,3.508225972338341
Сходить в спортзал,Health,Low,1.8599656277526344
Сходить в спортзал,Health,Low,1.3572391730644355
Сходить в спортзал,Health,Low,1.609729072693658
Написать код для бэкенда,Work,High,4.628187044077892
Сходить в спортзал,Health,Low,1.6310846907762189
Убраться в комнате,Personal,Low,1.660892546190397
Записаться к врачу,Health,Medium,0.766634538949759
Изучить основы Python,Education,Medium,1.8946969415273682
Написать код для бэкенда,Work,High,5.377964592199466
Прочитать книгу по ИИ,Education,Medium,2.7174801594598956
Встреча с клиентом,Work,High,1.5173074661422001
Купить продукты на неделю,Personal,Low,0.7713696928794306
Подготовка к экзамену,Education,High,3.7685785001319623
Написать код для бэкенда,Work,High,4.711892083560172
Встреча с клиентом,Work,High,1.2827437402982915
Подготовить отчет по проекту,Work,High,3.6187707154750646
Записаться к врачу,Health,Medium,0.1348010238759152
Купить продукты на неделю,Personal,Low,1.1244431312538765
Подготовка к экзамену,Education,High,3.700511277935152
Купить продукты на неделю,Personal,Low,1.3225988998662004
Убраться в комнате,Personal,Low,1.5158321663453633
Убраться в комнате,Personal,Low,2.0428490603957554
Сходить в спортзал,Health,Low,1.6102228484073287
Встреча с клиентом,Work,High,1.3168276582067295
Подготовка к экзамену,Education,High,3.731732428917274
Купить продукты на неделю,Personal,Low,1.2457997413431505
Купить продукты на неделю,Personal,Low,0.7302227052601199
Написать код для бэкенда,Work,High,5.1258538995630705
Купить продукты на неделю,Personal,Low,1.328346577516697
Прочитать книгу по ИИ,Education,Medium,2.338102988019799
Изучить основы Python,Education,Medium,1.8527181141968831
Записаться к врачу,Health,Medium,0.049356948394426725
Купить продукты на неделю,Personal,Low,1.055475415853543
Прочитать книгу по ИИ,Education,Medium,2.5051657943064507
Подготовить отчет по проекту,Work,High,3.4893539048217317
Изучить основы Python,Education,Medium,1.9300154874714521
Подготовка к экзамену,Education,High,3.756709285133318
Подготовка к экзамену,Education,High,4.160102345681684
Прочитать книгу по ИИ,Education,Medium,2.016485031243466
Подготовить отчет по проекту,Work,High,3.682906649149823
Изучить основы Python,Education,Medium,1.6221191472969834
Подготовить отчет по проекту,Work,High,3.823499114963516
Написать код для бэкенда,Work,High,5.315763681323616
Купить продукты на неделю,Personal,Low,1.2615465592671993
Купить продукты на неделю,Personal,Low,0.6573795829012283
Подготовить отчет по проекту,Work,High,3.1417042349595787
Купить продукты на неделю,Personal,Low,0.6028138398500893
Сходить в спортзал,Health,Low,1.8088020518155974
Убраться в комнате,Personal,Low,2.288095118824244
Купить продукты на неделю,Personal,Low,1.459904554417519
Прочитать книгу по ИИ,Education,Medium,2.5193395845334847
Написать код для бэкенда,Work,High,4.915700737872364
Встреча с клиентом,Work,High,1.5131071007621144
Купить продукты на неделю,Personal,Low,0.695907454857365
Прочитать книгу по ИИ,Education,Medium,2.0477095092297244
Подготовка к экзамену,Education,High,3.6912518582089264
Подготовить отчет по проекту,Work,High,3.3634229750720417
Встреча с клиентом,Work,High,1.573069887781601
Записаться к врачу,Health,Medium,0.51173624317509
Подготовка к экзамену,Education,High,3.805030705779301
Убраться в комнате,Personal,Low,1.901467400701463
Купить продукты на неделю,Personal,Low,1.329695544903541
Купить продукты на неделю,Personal,Low,1.182738071283838
Подготовка к экзамену,Education,High,4.017767352299961
Сходить в спортзал,Health,Low,1.98688542870787
Купить продукты на неделю,Personal,Low,1.1645571523718932
Убраться в комнате,Personal,Low,2.3762395902820104
Подготовка к экзамену,Education,High,3.6222291026219544
Изучить основы Python,Education,Medium,1.9262108949818861
Изучить основы Python,Education,Medium,1.8417079623824235
Записаться к врачу,Health,Medium,0.02116082886266868
Подготовить отчет по проекту,Work,High,3.5234675946043232
Убраться в комнате,Personal,Low,2.498147067314525
Подготовить отчет по проекту,Work,High,3.721633428643982
Подготовка к экзамену,Education,High,3.7702479005410194
Записаться к врачу,Health,Medium,0.7409096094940013
Изучить основы Python,Education,Medium,1.7340929644683816
Изучить основы Python,Education,Medium,1.9599408839794863
Встреча с клиентом,Work,High,1.74083708635599
Прочитать книгу по ИИ,Education,Medium,2.8558762857448285
Сходить в спортзал,Health,Low,1.834833474253589
Подготовка к экзамену,Education,High,3.6830446973109203
Написать код для бэкенда,Work,High,4.565199650765356
Подготовка к экзамену,Education,High,3.7954838229738384
Подготовить отчет по проекту,Work,High,3.1837921296626197
Встреча с клиентом,Work,High,1.7256246812693696
Купить продукты на неделю,Personal,Low,0.9534672122064295
Убраться в комнате,Personal,Low,2.081728606974834
Встреча с клиентом,Work,High,1.6993652687554177
Встреча с клиентом,Work,High,1.423237967942558
Подготовка к экзамену,Education,High,4.062845306303983
Подготовить отчет по проекту,Work,High,3.3423474491836744
Подготовить отчет по проекту,Work,High,3.1675345844009914
Прочитать книгу по ИИ,Education,Medium,2.3936457231000796
Записаться к врачу,Health,Medium,0.2523119068653782
Встреча с клиентом,Work,High,1.8156960499340529
Встреча с клиентом,Work,High,1.8924150452153436
Прочитать книгу по ИИ,Education,Medium,2.7827641124383025
Убраться в комнате,Personal,Low,2.2753093099311483
Подготовить отчет по проекту,Work,High,3.6686594158211623
Записаться к врачу,Health,Medium,0.0951228809999295
Встреча с клиентом,Work,High,1.3647526571435957
Встреча с клиентом,Work,High,1.5593464876186003
Встреча с клиентом,Work,High,1.91870111534859
Прочитать книгу по ИИ,Education,Medium,2.9927182745858034
Подготовить отчет по проекту,Work,High,3.5331548328984757
Изучить основы Python,Education,Medium,2.1149868446839046
Убраться в комнате,Personal,Low,2.3016126226237574
Изучить основы Python,Education,Medium,2.315874210635371
Подготовка к экзамену,Education,High,4.247981131369518
Подготовить отчет по проекту,Work,High,3.0005787310565766
Сходить в спортзал,Health,Low,1.3464196467039697
Подготовить отчет по проекту,Work,High,3.6758439445194306
Сходить в спортзал,Health,Low,1.9880556994028675
Подготовить отчет по проекту,Work,High,3.8408291438845117
Купить продукты на неделю,Personal,Low,1.33733166869835
Прочитать книгу по ИИ,Education,Medium,2.6761229768850345
Написать код для бэкенда,Work,High,4.523371421339151
Сходить в спортзал,Health,Low,1.1817795828233963
Убраться в комнате,Personal,Low,1.728570695584119
Изучить основы Python,Education,Medium,2.0514186384398645
Купить продукты на неделю,Personal,Low,1.3539177497246064
Изучить основы Python,Education,Medium,1.8983246178832012
Написать код для бэкенда,Work,High,5.197280438391364
Написать код для бэкенда,Work,High,5.312087968258365
Подготовка к экзамену,Education,High,4.155664846370475
Подготовка к экзамену,Education,High,3.9094957332887663
Изучить основы Python,Education,Medium,1.7964237959873155
Изучить основы Python,Education,Medium,1.7824106286519932
Убраться в комнате,Personal,Low,2.2326855969868418
Записаться к врачу,Health,Medium,0.707907191552442
Записаться к врачу,Health,Medium,0.9558577980767162
Сходить в спортзал,Health,Low,1.1043400497702027
Сходить в спортзал,Health,Low,1.562518550974884
Встреча с клиентом,Work,High,1.264337861273746
Подготовка к экзамену,Education,High,4.23416268821937
Убраться в комнате,Personal,Low,1.640899211183914
Написать код для бэкенда,Work,High,5.27043107855718
Купить продукты на неделю,Personal,Low,0.8702315160266773
Прочитать книгу по ИИ,Education,Medium,2.6911971378893824
Подготовить отчет по проекту,Work,High,3.1481381133272093
Купить продукты на неделю,Personal,Low,0.5132730301594451
Подготовить отчет по проекту,Work,High,3.6120900459914003
Убраться в комнате,Personal,Low,1.9661911254962274
Купить продукты на неделю,Personal,Low,0.9385710783988813
Записаться к врачу,Health,Medium,0.23528197722736865
Изучить основы Python,Education,Medium,2.0995364440585464
Подготовка к экзамену,Education,High,4.043567828705953
Написать код для бэкенда,Work,High,5.326110351566744
Изучить основы Python,Education,Medium,2.40592869513949
Сходить в спортзал,Health,Low,1.0167080618819826
Написать код для бэкенда,Work,High,4.86306757233439
Изучить основы Python,Education,Medium,2.436747338349526
Встреча с клиентом,Work,High,1.018548325545325
Написать код для бэкенда,Work,High,4.55483803571317
Сходить в спортзал,Health,Low,1.6131607934133303
Подготовить отчет по проекту,Work,High,3.598854228503509
Подготовка к экзамену,Education,High,3.9351666655680373
Подготовить отчет по проекту,Work,High,3.525100367593029
Купить продукты на неделю,Personal,Low,0.6350015239137595
Встреча с клиентом,Work,High,1.0726778506650052
Подготовка к экзамену,Education,High,4.172424472643596
Записаться к врачу,Health,Medium,0.11560676851092444
Убраться в комнате,Personal,Low,1.803654539606054
Записаться к врачу,Health,Medium,0.5523543104801645
Сходить в спортзал,Health,Low,1.1787846068325285
Сходить в спортзал,Health,Low,1.0184278503229907
Сходить в спортзал,Health,Low,1.0793508445230482
Записаться к врачу,Health,Medium,0.492402799580536
Прочитать книгу по ИИ,Education,Medium,2.939291518797461
Убраться в комнате,Personal,Low,1.9907496816187322
Изучить основы Python,Education,Medium,1.989438763068394
Сходить в спортзал,Health,Low,1.3778009738897268
Прочитать книгу по ИИ,Education,Medium,2.4662712344328037
Подготовка к экзамену,Education,High,3.607197045187919
Изучить основы Python,Education,Medium,2.2417700041047515
Подготовка к экзамену,Education,High,4.140438800086515
Прочитать книгу по ИИ,Education,Medium,2.8523578143836703
Подготовка к экзамену,Education,High,4.32253383937484
Подготовка к экзамену,Education,High,4.0529853389268045
Изучить основы Python,Education,Medium,1.863939264947953
Купить продукты на неделю,Personal,Low,0.6427282292378772
Записаться к врачу,Health,Medium,0.7067894613811508
Изучить основы Python,Education,Medium,1.9727331473292686
Купить продукты на неделю,Personal,Low,0.71574118180352
Прочитать книгу по ИИ,Education,Medium,2.275678762074846
Убраться в комнате,Personal,Low,1.6900753239645174
Убраться в комнате,Personal,Low,1.5790258880733696
Подготовить отчет по проекту,Work,High,3.3852365408985943
Изучить основы Python,Education,Medium,1.7402654981767363
Встреча с клиентом,Work,High,1.673584609353323
Убраться в комнате,Personal,Low,2.2600476356528967
Купить продукты на неделю,Personal,Low,1.0671741246021917
Записаться к врачу,Health,Medium,0.19964722394152767
Изучить основы Python,Education,Medium,1.8039729978398666
Убраться в комнате,Personal,Low,2.117987881678764
Изучить основы Python,Education,Medium,2.0180699527430126
Изучить основы Python,Education,Medium,1.9049425622730451
Изучить основы Python,Education,Medium,1.9366762083850513
Записаться к врачу,Health,Medium,0.2102993962191818
Прочитать книгу по ИИ,Education,Medium,2.222405047707081
Записаться к врачу,Health,Medium,0.7553059445547857
Прочитать книгу по ИИ,Education,Medium,2.1194914032611933
Убраться в комнате,Personal,Low,1.8386460546152867
Записаться к врачу,Health,Medium,0.6092132671102057
Прочитать книгу по ИИ,Education,Medium,2.082830079689302
Подготовить отчет по проекту,Work,High,3.577719352937429
Сходить в спортзал,Health,Low,1.6488892257559788
Убраться в комнате,Personal,Low,2.3427692543325063
Убраться в комнате,Personal,Low,2.313130931033014
Купить продукты на неделю,Personal,Low,1.4537463788242468
Сходить в спортзал,Health,Low,1.3927377859983345
Встреча с клиентом,Work,High,1.0312144008813273
Сходить в спортзал,Health,Low,1.311931900950153
Изучить основы Python,Education,Medium,2.485651261424654
Сходить в спортзал,Health,Low,1.4529116657933558
Написать код для бэкенда,Work,High,5.490759928228932
Подготовка к экзамену,Education,High,4.483873528930946
Подготовить отчет по проекту,Work,High,3.6886905029233805
Убраться в комнате,Personal,Low,2.443991219029342
Подготовка к экзамену,Education,High,4.3561678893102735
Подготовка к экзамену,Education,High,3.9149537891544597
Сходить в спортзал,Health,Low,1.3354659774090978
Записаться к врачу,Health,Medium,0.8357665359632113
Купить продукты на неделю,Personal,Low,0.6995409968982179
Прочитать книгу по ИИ,Education,Medium,2.978927337569071
Подготовить отчет по проекту,Work,High,3.7569046827729826
Подготовить отчет по проекту,Work,High,3.6141766180169483
Изучить основы Python,Education,Medium,1.7423715577270706
Встреча с клиентом,Work,High,1.7570777999155043
Записаться к врачу,Health,Medium,0.8633529437832849
Купить продукты на неделю,Personal,Low,1.1725986587316657
Встреча с клиентом,Work,High,1.8234460274646873
Убраться в комнате,Personal,Low,1.8290695022628989
Встреча с клиентом,Work,High,1.7717771662881554
Подготовка к экзамену,Education,High,4.188884646646777
Подготовка к экзамену,Education,High,4.110966256245485
Убраться в комнате,Personal,Low,1.5491406171921323
Изучить основы Python,Education,Medium,1.9872274141662187
Изучить основы Python,Education,Medium,2.3525657432307683
Встреча с клиентом,Work,High,1.5317650232448217
Записаться к врачу,Health,Medium,0.4082010088046393
Встреча с клиентом,Work,High,1.1369696574962678
Прочитать книгу по ИИ,Education,Medium,2.1502132395205966
Убраться в комнате,Personal,Low,1.519155601442292
Изучить основы Python,Education,Medium,1.7776264887245898
Прочитать книгу по ИИ,Education,Medium,2.2541720711575417
Сходить в спортзал,Health,Low,1.7172178488960474
Подготовка к экзамену,Education,High,4.206384769793673
Убраться в комнате,Personal,Low,2.4170713892656135
Записаться к врачу,Health,Medium,0.3365522264394397
Убраться в комнате,Personal,Low,2.2450362527439065
Подготовить отчет по проекту,Work,High,3.240626912366101
Встреча с клиентом,Work,High,1.818651729740234
Подготовить отчет по проекту,Work,High,3.6804747180459145
Изучить основы Python,Education,Medium,2.175703708611728
Сходить в спортзал,Health,Low,1.0933094652058868
Прочитать книгу по ИИ,Education,Medium,2.228506838098013
Встреча с клиентом,Work,High,1.359448284338062
Купить продукты на неделю,Personal,Low,1.4683946797297966
Убраться в комнате,Personal,Low,2.0021516410711886
Убраться в комнате,Personal,Low,1.962111849316817
Встреча с клиентом,Work,High,1.2121882171980691
Подготовка к экзамену,Education,High,3.962213392439438
Купить продукты на неделю,Personal,Low,0.6396886759039173
Изучить основы Python,Education,Medium,1.9568720898648744
Подготовить отчет по проекту,Work,High,3.788882076040495
Купить продукты на неделю,Personal,Low,1.1827943931092897
Сходить в спортзал,Health,Low,1.3029950360079825
Изучить основы Python,Education,Medium,2.151668046033795
Подготовка к экзамену,Education,High,3.74963514866294
Сходить в спортзал,Health,Low,1.162813145129455
Сходить в спортзал,Health,Low,1.4285326822731879
Сходить в спортзал,Health,Low,1.0639320501670446
Подготовить отчет по проекту,Work,High,3.7144853109127682
Изучить основы Python,Education,Medium,2.178879393803843
Подготовка к экзамену,Education,High,3.6008668782552773
Написать код для бэкенда,Work,High,4.9212104394213725
Сходить в спортзал,Health,Low,1.6299180375717053
Прочитать книгу по ИИ,Education,Medium,2.9254573139650613
Убраться в комнате,Personal,Low,1.5607386429910237
Встреча с клиентом,Work,High,1.420695760832599
Сходить в спортзал,Health,Low,1.7941473903524954
Убраться в комнате,Personal,Low,1.5482645762080711
Встреча с клиентом,Work,High,1.8611166317378114
Написать код для бэкенда,Work,High,5.029471939286823
Подготовка к экзамену,Education,High,3.580309538063933
Записаться к врачу,Health,Medium,0.5204539750561565
Записаться к врачу,Health,Medium,0.3856703003401508
Сходить в спортзал,Health,Low,1.4004901375007532
Убраться в комнате,Personal,Low,2.106121284965333
Написать код для бэкенда,Work,High,4.606839898935712
Записаться к врачу,Health,Medium,0.7253430849715582
Написать код для бэкенда,Work,High,5.150273922842591
Записаться к врачу,Health,Medium,0.02339869087737645
Прочитать книгу по ИИ,Education,Medium,2.6652540329514713
Написать код для бэкенда,Work,High,4.855817339953543
Сходить в спортзал,Health,Low,1.983792529224434
Подготовка к экзамену,Education,High,4.404922969643721
Встреча с клиентом,Work,High,1.8528114727295482
Убраться в комнате,Personal,Low,1.7226698343178417
Убраться в комнате,Personal,Low,1.7028746574662228
Изучить основы Python,Education,Medium,1.6397400602845043
Сходить в спортзал,Health,Low,1.016013858899885
Записаться к врачу,Health,Medium,0.7340278699902728
Подготовка к экзамену,Education,High,3.688532342232154
Изучить основы Python,Education,Medium,1.8319590814528872
Изучить основы Python,Education,Medium,1.7258826452925318
Встреча с клиентом,Work,High,1.571731665809073
Подготовить отчет по проекту,Work,High,3.0571586056251028
Изучить основы Python,Education,Medium,1.762508041915279
Записаться к врачу,Health,Medium,0.9649473821513166
Прочитать книгу по ИИ,Education,Medium,2.8406029346947426
Написать код для бэкенда,Work,High,5.165505599238072
Купить продукты на неделю,Personal,Low,1.4017331001938746
Подготовка к экзамену,Education,High,4.132028295106387
Подготовка к экзамену,Education,High,3.95017139779603
Записаться к врачу,Health,Medium,0.2880207765700894
Купить продукты на неделю,Personal,Low,1.0995529686034042
Написать код для бэкенда,Work,High,4.622926521616739
Прочитать книгу по ИИ,Education,Medium,2.066528376483646
Купить продукты на неделю,Personal,Low,0.8106384562988932
Купить продукты на неделю,Personal,Low,0.5404103239750907
Подготовить отчет по проекту,Work,High,3.271068621992372
Подготовка к экзамену,Education,High,4.382737520359722
Изучить основы Python,Education,Medium,1.9873786669023277
Изучить основы Python,Education,Medium,1.8570243748215391
Сходить в спортзал,Health,Low,1.7028728130339204
Подготовить отчет по проекту,Work,High,3.271387839535132
Написать код для бэкенда,Work,High,4.866365396349573
Изучить основы Python,Education,Medium,2.3113919097768982
Сходить в спортзал,Health,Low,1.089245956147987
Прочитать книгу по ИИ,Education,Medium,2.761736794021047
Подготовка к экзамену,Education,High,3.8698574808561963
Написать код для бэкенда,Work,High,5.2643691021990895
Купить продукты на неделю,Personal,Low,1.2907961379675879
Записаться к врачу,Health,Medium,0.5687295988855501
Купить продукты на неделю,Personal,Low,0.820547710970064
Купить продукты на неделю,Personal,Low,1.151141799714188
Изучить основы Python,Education,Medium,2.244471312560973
Убраться в комнате,Personal,Low,2.282940530225788
Прочитать книгу по ИИ,Education,Medium,2.7701701350002628
Изучить основы Python,Education,Medium,1.6699213984105543
Изучить основы Python,Education,Medium,1.8240969404754899
Прочитать книгу по ИИ,Education,Medium,2.050630856195899
Купить продукты на неделю,Personal,Low,0.6024381989496552
Записаться к врачу,Health,Medium,0.9963051119511577
Написать код для бэкенда,Work,High,4.591388961594191
Убраться в комнате,Personal,Low,2.0269602342147888
Прочитать книгу по ИИ,Education,Medium,2.359108703959939
Убраться в комнате,Personal,Low,2.248526453799013
Сходить в спортзал,Health,Low,1.39103073895674
Прочитать книгу по ИИ,Education,Medium,2.4523432327622627
Прочитать книгу по ИИ,Education,Medium,2.72900768555799
Подготовка к экзамену,Education,High,4.4909054135572655
Написать код для бэкенда,Work,High,4.75527447298926
Записаться к врачу,Health,Medium,0.5974115293284032
Купить продукты на неделю,Personal,Low,1.1779255831640056
Подготовить отчет по проекту,Work,High,3.40985560895669
Сходить в спортзал,Health,Low,1.3663126611712424
Купить продукты на неделю,Personal,Low,1.040911638296023
Сходить в спортзал,Health,Low,1.3309882303995137
Изучить основы Python,Education,Medium,1.720304259821873
Прочитать книгу по ИИ,Education,Medium,2.8840472996942923
Подготовка к экзамену,Education,High,3.8546066498740688
Встреча с клиентом,Work,High,1.7515833265767315
Убраться в комнате,Personal,Low,2.327998224734206
Прочитать книгу по ИИ,Education,Medium,2.753352520839357
Изучить основы Python,Education,Medium,1.6773591360769138
Написать код для бэкенда,Work,High,5.395122708133062
Купить продукты на неделю,Personal,Low,1.0588888535218794
Записаться к врачу,Health,Medium,0.5783287664391632
Подготовка к экзамену,Education,High,3.897820339460498
Сходить в спортзал,Health,Low,1.0766807775343357
Записаться к врачу,Health,Medium,0.49892991085188976
Написать код для бэкенда,Work,High,5.379961438312495
Встреча с клиентом,Work,High,1.654997625401715
Изучить основы Python,Education,Medium,2.4586306597195895
Записаться к врачу,Health,Medium,0.28339477678450864
Прочитать книгу по ИИ,Education,Medium,2.6110914053013783
Написать код для бэкенда,Work,High,4.765860258533405
Сходить в спортзал,Health,Low,1.8892234691628866
Подготовить отчет по проекту,Work,High,3.6774755914655666
Написать код для бэкенда,Work,High,4.828312078224247
Подготовить отчет по проекту,Work,High,3.504206381109311
Подготовка к экзамену,Education,High,4.028673344088
Прочитать книгу по ИИ,Education,Medium,2.2918630660827395
Написать код для бэкенда,Work,High,4.895605431519331
Подготовка к экзамену,Education,High,3.562214267179176
Встреча с клиентом,Work,High,1.7182446151459914
Прочитать книгу по ИИ,Education,Medium,2.0300806864433287
Купить продукты на неделю,Personal,Low,0.8668926624178427
Прочитать книгу по ИИ,Education,Medium,2.49228475494438
Изучить основы Python,Education,Medium,2.0028194962441876
Сходить в спортзал,Health,Low,1.8585685396630252
Сходить в спортзал,Health,Low,1.5412184479427964
Прочитать книгу по ИИ,Education,Medium,2.8373277909276973
Убраться в комнате,Personal,Low,1.8677532237632093
Встреча с клиентом,Work,High,1.1262639550662636
Встреча с клиентом,Work,High,1.0261980949855771
Купить продукты на неделю,Personal,Low,0.9439653665958354
Написать код для бэкенда,Work,High,4.5569910325052865
Подготовка к экзамену,Education,High,4.181318965090852
Записаться к врачу,Health,Medium,0.9674179419283109
Подготовить отчет по проекту,Work,High,3.0313561164437672
Убраться в комнате,Personal,Low,1.7093351281299558
Встреча с клиентом,Work,High,1.5297641237165847
Написать код для бэкенда,Work,High,4.935770935352842
Сходить в спортзал,Health,Low,1.5223373200492354
Изучить основы Python,Education,Medium,1.7977849700000306
Написать код для бэкенда,Work,High,5.277363421617496
Написать код для бэкенда,Work,High,4.777211724342951
Купить продукты на неделю,Personal,Low,1.4873615776251534
Написать код для бэкенда,Work,High,4.9531446222890745
Встреча с клиентом,Work,High,1.3781186123738567
Убраться в комнате,Personal,Low,2.226356394904047
Встреча с клиентом,Work,High,1.7219834630631796
Купить продукты на неделю,Personal,Low,1.155908852537391
Написать код для бэкенда,Work,High,4.716136823827952
Сходить в спортзал,Health,Low,1.3459024314964174
Изучить основы Python,Education,Medium,2.324694400378468
Записаться к врачу,Health,Medium,0.3182265848133683
Убраться в комнате,Personal,Low,1.5323701090058937
Подготовить отчет по проекту,Work,High,3.6574354300477205
Убраться в комнате,Personal,Low,1.536796151150209
Написать код для бэкенда,Work,High,4.585593028395641
Сходить в спортзал,Health,Low,1.011748180899299
Подготовить отчет по проекту,Work,High,3.7545266646363973
Убраться в комнате,Personal,Low,2.0888099804710074
Подготовка к экзамену,Education,High,3.8456818823366605
Написать код для бэкенда,Work,High,5.011111467088966
Встреча с клиентом,Work,High,1.1427320752747883
Сходить в спортзал,Health,Low,1.4357057595968221
Подготовить отчет по проекту,Work,High,3.5239627333207757
Сходить в спортзал,Health,Low,1.1627478423513535
Изучить основы Python,Education,Medium,1.9437205796854382
Записаться к врачу,Health,Medium,0.22006790121252817
Купить продукты на неделю,Personal,Low,0.6885115977205849
Подготовка к экзамену,Education,High,3.7783580495383955
Подготовка к экзамену,Education,High,3.624280260168966
Подготовка к экзамену,Education,High,4.013216252230384
Встреча с клиентом,Work,High,1.0165757322276705
Подготовить отчет по проекту,Work,High,3.3243287186408343
Записаться к врачу,Health,Medium,0.43954325038680475
Подготовка к экзамену,Education,High,4.106507260117289
Убраться в комнате,Personal,Low,1.901958944883845
Встреча с клиентом,Work,High,1.4914562470263801
Убраться в комнате,Personal,Low,1.8825659725306285
